,Tension fotodiodo [V],Tiempo [s],Datos hasta tiempo,Duracion [s],Frecuencia de sampleo [Hz]
112,4.938502172949298,12.129746913909912,253.0,,
113,4.9431073685977776,12.239692449569702,276.0,,
114,4.944423138786184,12.34966230392456,274.0,,
115,4.950344104651217,12.452800512313843,275.0,,
116,4.948699391908105,12.55338168144226,255.0,,
117,4.955278242893602,12.663355112075806,254.0,,
118,4.951330932298127,12.773319959640503,275.0,,
119,4.953962472693718,12.883291006088257,276.0,,
120,4.960212381155575,12.986024856567383,274.0,,
121,4.962843921569978,13.086370706558228,255.0,,
122,4.962514979017873,13.196353912353516,253.0,,
123,4.962843921569978,13.30630874633789,275.0,,
124,4.962843921569978,13.41628384590149,275.0,,
125,4.970409600292478,13.517284154891968,275.0,,
126,4.964159691779272,13.618650197982788,252.0,,
127,4.970080657738366,13.728986263275146,253.0,,
