,Tension fotodiodo [V],Frecuencia generador [Hz],Duracion [s],Frecuencia de sampleo [Hz]
154,5.896383257414781,,,
155,5.836844608220161,,,
156,5.775990191236986,,,
157,5.7144778921874835,,,
158,5.6519787684000375,,,
159,5.585532335455269,,,
160,5.516783307556756,,,
161,5.44540274239356,,,
162,5.372706411068277,,,
163,5.298365371126993,,,
164,5.222050680198656,,,
165,5.144091281198658,,,
166,5.063171404057852,,,
167,4.983567302528632,,,
168,4.901002723300498,,,
169,4.815806609385314,,,
170,4.728636846197491,,,
171,4.6381776641548855,,,
172,4.54673166094102,,,
173,4.4559435487572925,,,
174,4.365155442546279,,,
175,4.276012054099794,,,
176,4.187855498269894,,,
177,4.102988371171254,,,
178,4.018450191209823,,,
179,3.9339120159263268,,,
180,3.8490449029343745,,,
181,3.766809332641719,,,
182,3.687205304556093,,,
183,3.6092459914894057,,,
184,3.5319445664560667,,,
185,3.4546431448684527,,,
186,3.3793153798422906,,,
187,3.3046455023194197,,,
188,3.233265049530798,,,
189,3.1628714259174253,,,
190,3.094780399909604,,,
191,3.0296498554920595,,,
192,2.967479792330362,,,
193,2.9076123258772757,,,
194,2.8513632243384834,,,
195,2.798074603193348,,,
196,2.748404346386816,,,
197,2.7016945694786667,,,
198,2.6572873881046832,,,
199,2.615182802115778,,,
200,2.5760386955129624,,,
201,2.5382103578160478,,,
202,2.504329325429706,,,
203,2.4730798299588677,,,
204,2.4447908133492517,,,
205,2.4197912175438754,,,
206,2.397423158350261,,,
207,2.378673461825574,,,
208,2.362884243806434,,,
209,2.350713388316304,,,
210,2.341831953265151,,,
211,2.3362399386189425,,,
212,2.333937344356359,,,
213,2.3352531125061566,,,
214,2.3395293589976047,,,
215,2.3474239679234303,,,
216,2.3589369393168425,,,
217,2.3730814470993193,,,
218,2.391831143582803,,,
219,2.4122255504414567,,,
220,2.4368962041204947,,,
221,2.463869452422474,,,
222,2.494461063658833,,,
223,2.52834209590676,,,
224,2.56386783897085,,,
225,2.602683003297545,,,
226,2.6438007628214377,,,
227,2.6872211176761627,,,
228,2.7329440680062205,,,
229,2.7829432665636835,,,
230,2.834587176798862,,,
231,2.890836277893388,,,
232,2.949387975362913,,,
233,3.010571211568296,,,
234,3.076030697510455,,,
235,3.1424770120811267,,,
236,3.2108969819330277,,,
237,3.2829353182333554,,,
238,3.356618368290244,,,
239,3.4316171901570356,,,
240,3.5089186107325627,,,
241,3.586877919206253,,,
242,3.6651661734905465,,,
243,3.744112315976205,,,
244,3.8263478851134503,,,
245,3.9098992276776743,,,
246,3.993779517009881,,,
247,4.077659810919699,,,
